,index,hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,emergency_services,subtotal_acute_utilization,payroll_employees,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison,state
3457,3457,SOUTHEASTHEALTH,Voluntary non-profit - Private,Acute Care Hospitals,37.311273,-89.540936,1701 LACEY ST,CAPE GIRARDEAU,True,60.0,1858.12,1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Missouri
3458,3458,FULTON MEDICAL CENTER LLC,Voluntary non-profit - Private,Acute Care Hospitals,38.842247,-91.966202,10 SOUTH HOSPITAL DRIVE,FULTON,True,5.0,103.26,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Missouri
3459,3459,SETON SOUTHWEST HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,30.22696,-97.88951,7900 FM 1826,AUSTIN,True,6.0,78.29,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Texas
3460,3460,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,38.973932,-105.074267,16420 WEST HIGHWAY 24,WOODLAND PARK,True,29.0,103.46,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,Colorado
3461,3461,SPENCER MUNICIPAL HOSPITAL,Government - Local,Acute Care Hospitals,43.150009,-95.143842,1200 1ST AVENUE EAST,SPENCER,True,39.0,413.6,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Iowa
3462,3462,KEARNY COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,37.945971,-101.251036,500 THORPE STREET,LAKIN,True,26.0,243.96,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Kansas
3463,3463,WARM SPRINGS MEDICAL CENTER,Voluntary non-profit - Other,Critical Access Hospitals,32.890652,-84.682911,5995 SPRING STREET,WARM SPRINGS,True,49.0,140.91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Georgia
3464,3464,TULANE MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,29.955263,-90.076121,1415 TULANE AVE,NEW ORLEANS,True,54.0,1884.1,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Louisiana
3465,3465,DILEY RIDGE MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,39.850053,-82.7811,7911 DILEY ROAD,CANAL WINCHESTER,True,15.0,94.31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Ohio
3466,3466,DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS,Voluntary non-profit - Private,Childrens,30.302549,-97.704957,4900 MUELLER BLVD,AUSTIN,True,61.0,1107.01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Texas
3467,3467,HSHS ST CLARE MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.865899,-88.127084,855 S MAIN ST,OCONTO FALLS,True,21.0,107.42,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Wisconsin
3468,3468,ASCENSION SACRED HEART HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,45.489006,-89.733596,401 W MOHAWK DR  SUITE 100,TOMAHAWK,True,12.0,74.5,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Wisconsin
3469,3469,ST LUKES LAKESIDE HOSPITAL,Voluntary non-profit - Other,Acute Care Hospitals,30.203132,-95.459482,17400 ST LUKES WAY,THE WOODLANDS,True,14.0,102.6,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Below the national average,Texas
3470,3470,MERCY GENERAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,38.569385,-121.452482,4001 J ST,SACRAMENTO,True,43.0,1576.48,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,California
3471,3471,BIGFORK VALLEY HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,47.746885,-93.646822,258 PINE TREE DRIVE PO BOX 258,BIGFORK,True,13.0,1521.08,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,Minnesota
3472,3472,"CONNECTICUT HOSPICE INC,THE",Voluntary non-profit - Private,Acute Care Hospitals,41.256305,-72.833367,100 DOUBLE BEACH ROAD,BRANFORD,False,51.0,205.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Connecticut
3473,3473,FRANKLIN COUNTY MEDICAL CENTER,Government - Local,Critical Access Hospitals,42.098379,-111.875467,44 NORTH FIRST EAST,PRESTON,True,30.0,244.35,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Not Available,Idaho
3474,3474,MASONICARE HEALTH CENTER,Voluntary non-profit - Private,Acute Care Hospitals,41.460698,-72.836586,22 MASONIC AVE,WALLINGFORD,False,27.0,351.71,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Not Available,Not Available,Connecticut
3475,3475,HEBREW HOME AND HOSPITAL INC,Voluntary non-profit - Private,Acute Care Hospitals,41.802774,-72.728931,1 ABRAHMS BOULEVARD,WEST HARTFORD,False,7.0,63.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Connecticut
3476,3476,BAPTIST MEMORIAL HOSPITAL TIPTON,Voluntary non-profit - Church,Acute Care Hospitals,35.535248,-89.676169,1995 HIGHWAY 51 S,COVINGTON,True,15.0,240.01,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Tennessee
3477,3477,"MERCY HOSPITAL, INC",Voluntary non-profit - Church,Acute Care Hospitals,38.205072,-97.516996,218 E PACK STREET,MOUNDRIDGE,True,21.0,36.95,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available,Kansas
3478,3478,FRIO REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,28.897048,-99.116013,200 S IH 35,PEARSALL,True,22.0,118.52,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Texas
3479,3479,MUENSTER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,33.653865,-97.379835,605 N MAPLE STREET,MUENSTER,True,51.0,99.38,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Texas
3480,3480,HIRAM W DAVIS MEDICAL CENTER,Government - State,Acute Care Hospitals,37.2098658,-77.4509355,P O BOX 4030,PETERSBURG,False,17.0,557.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Virginia
3481,3481,ST PETER'S HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,42.660176,-73.802382,315 SOUTH MANNING BOULEVARD,ALBANY,True,79.0,3078.8,2,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,New York
3482,3482,MARTIN COUNTY HOSPITAL DISTRICT,Government - Hospital District or Authority,Critical Access Hospitals,32.1397988,-101.7870627,600 E INTERSTATE 20     PO BOX 640,STANTON,True,24.0,201.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Texas
3483,3483,SAME DAY SURGERY CENTER LLC,Proprietary,Acute Care Hospitals,44.05919,-103.229102,651 CATHEDRAL DRIVE,RAPID CITY,False,6.0,47.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,South Dakota
3484,3484,TETON VALLEY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,43.727285,-111.108608,120 EAST HOWARD AVE,DRIGGS,True,10.0,112.89,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Idaho
3485,3485,MORGAN MEDICAL CENTER,Government - Hospital District or Authority,Critical Access Hospitals,33.567545,-83.472004,1740 LIONS CLUB ROAD,MADISON,True,55.0,150.92,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Georgia
3486,3486,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,Proprietary,Acute Care Hospitals,32.912317,-96.951522,400 WEST INTERSTATE 635 SUITE 101,IRVING,True,21.0,139.0,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Texas
3487,3487,SOUTH TEXAS SURGICAL HOSPITAL,Proprietary,Acute Care Hospitals,27.686928,-97.375437,6130 PARKWAY DRIVE,CORPUS CHRISTI,True,16.0,165.52,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Texas
3488,3488,"PINEVILLE COMMUNITY HEALTH CENTER, INC",Voluntary non-profit - Private,Acute Care Hospitals,36.763077,-83.708574,850 RIVERVIEW AVENUE,PINEVILLE,True,11.0,22.55,3,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Above the national average,Not Available,Kentucky
3489,3489,BARIX CLINICS OF PENNSYLVANIA,Proprietary,Acute Care Hospitals,40.181801,-74.884542,280 MIDDLETOWN ROAD,LANGHORNE,False,11.0,46.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Pennsylvania
3490,3490,BAPTIST HEALTH CORBIN,Voluntary non-profit - Private,Acute Care Hospitals,36.9230129,-84.1202609,ONE TRILLIUM WAY,CORBIN,True,44.0,1042.23,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Kentucky
3491,3491,PROVIDENCE SEASIDE HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,45.989367,-123.914805,725 S WAHANNA ROAD,SEASIDE,True,39.0,337.87,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Oregon
3492,3492,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,Government - Local,Critical Access Hospitals,35.700249,-89.97493,611 WEST LEE AVENUE,OSCEOLA,True,16.0,54.35,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Arkansas
3493,3493,NORTHFIELD HOSPITAL,Government - Local,Acute Care Hospitals,44.471386,-93.191159,2000 NORTH AVENUE,NORTHFIELD,True,42.0,604.83,4,Not Available,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Minnesota
3494,3494,GOOD SAMARITAN HOSPITAL OF SUFFERN,Voluntary non-profit - Church,Acute Care Hospitals,41.112389,-74.136248,255 LAFAYETTE AVENUE,SUFFERN,True,67.0,1530.6,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,New York
3495,3495,SAINT THOMAS STONES RIVER HOSPITAL,Proprietary,Acute Care Hospitals,35.832865,-86.072943,324 DOOLITTLE ROAD,WOODBURY,True,21.0,58.48,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Tennessee
3496,3496,SIMPSON GENERAL HOSPITAL CAH,Voluntary non-profit - Private,Critical Access Hospitals,31.968094,-89.886996,1842 SIMPSON HIGHWAY 149,MENDENHALL,True,34.0,212.7,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Mississippi
3497,3497,REDWOOD MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,40.583071,-124.135942,3300 RENNER DRIVE,FORTUNA,True,53.0,167.65,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Below the national average,Not Available,California
3498,3498,CHILDRENS HOSPITAL,Voluntary non-profit - Private,Childrens,29.917396,-90.127131,200 HENRY CLAY AVE,NEW ORLEANS,True,51.0,1583.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Louisiana
3499,3499,MAYERS MEMORIAL HOSPITAL,Voluntary non-profit - Other,Critical Access Hospitals,41.023968,-121.424651,43563 HWY 299 EAST,FALL RIVER MILLS,True,23.0,179.88,Not Available,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Not Available,California
3500,3500,COOK CHILDRENS MEDICAL CENTER,Voluntary non-profit - Private,Childrens,32.736488,-97.341975,801 SEVENTH AVENUE,FORT WORTH,True,58.0,3904.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Texas
3501,3501,STARR COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,26.37754,-98.859886,128  N FM RD 3167,RIO GRANDE CITY,True,19.0,300.0,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Below the national average,Not Available,Texas
3502,3502,COLORADO RIVER MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,34.832836,-114.618317,1401 BAILEY AVE,NEEDLES,True,16.0,70.98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,California
3503,3503,MARY RUTAN HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.368954,-83.756703,205 PALMER AVENUE,BELLEFONTAINE,True,30.0,580.86,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Ohio
3504,3504,ST JAMES MERCY HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,42.314575,-77.660142,411 CANISTEO STREET,HORNELL,True,52.0,213.9,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,New York
3505,3505,DARDANELLE HOSPITAL,Proprietary,Critical Access Hospitals,35.220917,-93.156987,200 NORTH THIRD STREET,DARDANELLE,True,24.0,135.0,2,Not Available,Not Available,Below the national average,Not Available,Not Available,Above the national average,Same as the national average,Arkansas
3506,3506,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,Proprietary,Acute Care Hospitals,30.175866,-92.02802,1101 KALISTE SALOOM RD,LAFAYETTE,False,23.0,166.0,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Louisiana
3507,3507,SURGICAL HOSPITAL AT SOUTHWOODS,Proprietary,Acute Care Hospitals,41.015355,-80.653439,7630 SOUTHERN BLVD,YOUNGSTOWN,False,26.0,483.15,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Not Available,Same as the national average,Ohio
3508,3508,COOK HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,47.853468,-92.680032,10 SE FIFTH ST,COOK,True,13.0,101.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Minnesota
3509,3509,"SUMMIT SURGICAL, LLC",Physician,Acute Care Hospitals,38.07953,-97.888595,1818 EAST 23RD AVENUE,HUTCHINSON,False,12.0,35.47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Kansas
3510,3510,ORCHARD HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,39.366974,-121.689717,240 SPRUCE STREET,GRIDLEY,True,32.0,180.95,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Same as the national average,California
3511,3511,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,Voluntary non-profit - Other,Acute Care Hospitals,32.753717,-117.165914,200 WEST ARBOR DRIVE,SAN DIEGO,True,85.0,7821.45,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,California
3512,3512,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,Government - Local,Acute Care Hospitals,37.747824,-122.458636,375 LAGUNA HONDA BLVD,SAN FRANCISCO,False,4.0,1397.16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,California
3513,3513,NORTH CADDO MEDICAL CENTER,Government - Hospital District or Authority,Critical Access Hospitals,32.86346,-93.987717,815 SOUTH PINE STREET,VIVIAN,True,37.0,196.15,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Not Available,Not Available,Louisiana
3514,3514,UNITYPOINT HEALTH-MARSHALLTOWN,Voluntary non-profit - Private,Acute Care Hospitals,42.04805,-92.905914,3 S 4TH AVE,MARSHALLTOWN,True,40.0,451.3,2,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Iowa
3515,3515,HIGGINS GENERAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,33.716343,-85.144623,200 ALLEN MEMORIAL DRIVE,BREMEN,True,82.0,219.3,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Georgia
3516,3516,CENTRACARE HEALTH SYSTEM - SAUK CENTRE,Voluntary non-profit - Private,Critical Access Hospitals,45.74589,-94.954567,425 NORTH ELM STREET,SAUK CENTRE,True,24.0,220.26,3,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Above the national average,Same as the national average,Minnesota
3517,3517,MERCY HOSPITAL CARTHAGE,Voluntary non-profit - Private,Critical Access Hospitals,37.1367,-94.320872,3125 DR RUSSELL SMITH WAY,CARTHAGE,True,55.0,237.51,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Same as the national average,Missouri
3518,3518,WAGONER COMMUNITY HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,35.959911,-95.392377,1200 WEST CHEROKEE STREET,WAGONER,True,35.0,181.55,3,Same as the national average,Not Available,Same as the national average,Below the national average,Below the national average,Above the national average,Not Available,Oklahoma
3519,3519,FALLS COMMUNITY HOSPITAL AND CLINIC,Voluntary non-profit - Private,Acute Care Hospitals,31.30747,-96.893901,322 COLEMAN STREET,MARLIN,True,9.0,139.59,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Texas
3520,3520,NORTH OAK REGIONAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.624678,-89.956744,401 GETWELL DR,SENATOBIA,True,17.0,119.56,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Mississippi
3521,3521,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,Voluntary non-profit - Church,Acute Care Hospitals,34.049482,-117.261122,11234 ANDERSON STREET SUITE A,LOMA LINDA,False,71.0,1451.15,3,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,California
3522,3522,BEEBE MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,38.777413,-75.13586,424 SAVANNAH RD,LEWES,True,65.0,1799.44,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Delaware
3523,3523,MOLOKAI GENERAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,21.09376,-157.017982,280 HOME OLU PLACE,KAUNAKAKAI,True,4.0,77.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Hawaii
3524,3524,MARTHA'S VINEYARD HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,41.4570063,-70.5517789,"ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",OAK BLUFFS,True,60.0,373.43,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Massachusetts
3525,3525,UPPER CONNECTICUT VALLEY HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.904412,-71.481489,181 CORLISS LANE,COLEBROOK,True,21.0,93.75,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,New Hampshire
3526,3526,ADVENTHEALTH ROLLINS BROOK,Voluntary non-profit - Church,Critical Access Hospitals,31.07233,-98.185644,608 NORTH KEY AVENUE,LAMPASAS,True,31.0,87.31,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average,Same as the national average,Not Available,Texas
3527,3527,WESTERN WISCONSIN HEALTH,Voluntary non-profit - Private,Critical Access Hospitals,44.941282,-92.376028,1100 BERGSLIEN ST,BALDWIN,True,17.0,248.0,5,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average,Wisconsin
3528,3528,EXCELSIOR SPRINGS HOSPITAL,Government - Local,Critical Access Hospitals,39.362217,-94.236519,1700 RAINBOW BOULEVARD,EXCELSIOR SPRINGS,True,15.0,223.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Missouri
3529,3529,HILLCREST HOSPITAL HENRYETTA,Proprietary,Acute Care Hospitals,35.439738,-96.015496,2401 W MAIN,HENRYETTA,True,34.0,115.0,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Oklahoma
3530,3530,PROSSER MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,46.20763,-119.763502,723 MEMORIAL STREET,PROSSER,True,50.0,269.6,3,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Same as the national average,Washington
3531,3531,ST VINCENT DUNN HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,38.853488,-86.493194,1600 23RD ST,BEDFORD,True,29.0,78.09,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Indiana
3532,3532,ST VINCENT MERCY HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,40.27602,-85.844005,1331 S A ST,ELWOOD,True,9.0,70.1,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Indiana
3533,3533,ESSENTIA HEALTH ST MARY'S HOSPITAL - SUPERIOR,Voluntary non-profit - Private,Critical Access Hospitals,46.698195,-92.104048,3500 TOWER AVE,SUPERIOR,True,30.0,292.19,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Not Available,Wisconsin
3534,3534,COALINGA REGIONAL MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,36.151517,-120.342089,1191 PHELPS AVENUE,COALINGA,True,5.0,152.49,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,California
3535,3535,CENTRAL VALLEY MEDICAL CENTER - CAH,Voluntary non-profit - Private,Critical Access Hospitals,39.730587,-111.837215,48 WEST 1500 NORTH,NEPHI,True,47.0,241.83,4,Not Available,Not Available,Below the national average,Above the national average,Not Available,Above the national average,Not Available,Utah
3536,3536,ELLINWOOD DISTRICT HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,38.360707,-98.581193,605 N MAIN STREET,ELLINWOOD,True,17.0,61.26,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Kansas
3537,3537,CENTRA CARE HEALTH PAYNESVILLE,Voluntary non-profit - Private,Critical Access Hospitals,45.374893,-94.716253,200 1ST STREET WEST,PAYNESVILLE,True,28.0,254.62,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Above the national average,Same as the national average,Minnesota
3538,3538,CHI HEALTH MIDLANDS,Voluntary non-profit - Church,Acute Care Hospitals,41.136866,-96.042825,11111 SOUTH 84TH ST,PAPILLION,True,16.0,137.82,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Nebraska
3539,3539,MILLE LACS HEALTH SYSTEM,Voluntary non-profit - Private,Critical Access Hospitals,46.072467,-93.661823,200 NORTH ELM STREET,ONAMIA,True,27.0,352.01,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Minnesota
3540,3540,NEW ULM MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,44.312504,-94.475174,1324 FIFTH NORTH STREET,NEW ULM,True,50.0,403.52,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Minnesota
3541,3541,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,39.164337,-108.735901,300 W OTTLEY AVE,FRUITA,True,51.0,312.93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Colorado
3542,3542,MOUNTAIN VIEW HOSPITAL,Physician,Acute Care Hospitals,43.472524,-111.988717,2325 CORONADO STREET,IDAHO FALLS,False,53.0,925.67,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Idaho
3543,3543,MAYO CLINIC HEALTH SYSTEM-SPRINGFIELD,Voluntary non-profit - Private,Critical Access Hospitals,44.245747,-94.971649,625 JACKSON AVENUE NORTH,SPRINGFIELD,True,14.0,63.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Minnesota
3544,3544,CLEVELAND EMERGENCY HOSPITAL,Proprietary,Acute Care Hospitals,30.329434,-95.096057,1017 S TRAVIS AVE,CLEVELAND,True,4.0,218.62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Texas
3545,3545,PACIFICA HOSPITAL OF THE VALLEY,Proprietary,Acute Care Hospitals,34.241134,-118.395669,9449 SAN FERNANDO RD,SUN VALLEY,True,37.0,470.61,2,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available,California
3546,3546,ARIZONA SPINE AND JOINT HOSPITAL,Physician,Acute Care Hospitals,33.379206,-111.734695,4620 EAST BASELINE ROAD,MESA,False,24.0,105.87,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Arizona
3547,3547,SUGAR LAND SURGICAL HOSPITAL LLP,Physician,Acute Care Hospitals,29.590609,-95.636696,16906 SOUTHWEST FREEWAY,SUGAR LAND,True,39.0,99.11,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Texas
3548,3548,SUMMIT PACIFIC MEDICAL CENTER-SWING BED UNIT,Government - Hospital District or Authority,Critical Access Hospitals,47.006623,-123.391022,600 EAST MAIN STREET,ELMA,True,37.0,209.04,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Same as the national average,Washington
3549,3549,OREM COMMUNITY HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,40.303255,-111.705407,331 NORTH 400 WEST,OREM,True,43.0,153.37,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Same as the national average,Utah
3550,3550,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,Voluntary non-profit - Church,Acute Care Hospitals,40.696807,-73.286321,1000 MONTAUK HIGHWAY,WEST ISLIP,True,80.0,3151.88,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,New York
3551,3551,YAKIMA VALLEY MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,46.592727,-120.550396,2811 TIETON DRIVE,YAKIMA,True,59.0,2692.87,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Washington
3552,3552,THE MONROE CLINIC,Voluntary non-profit - Private,Acute Care Hospitals,42.607807,-89.634574,2005 5TH STREET,MONROE,True,45.0,1030.46,5,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Wisconsin
3553,3553,AURORA MEDICAL CTR MANITOWOC COUNTY,Voluntary non-profit - Private,Acute Care Hospitals,44.125862,-87.615137,5000 MEMORIAL DRIVE,TWO RIVERS,True,24.0,295.54,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Wisconsin
